target,train_rows,test_rows,mae,r2,dir_accuracy,trained_at
total_games,997416,110824,2.9873,0.6974,84.02,2026-02-19 03:39
games_won,997416,110824,2.0251,0.6584,80.71,2026-02-19 03:39
total_sets,997416,110824,0.3044,0.6955,85.01,2026-02-19 03:40
aces,997416,110824,2.4521,0.4756,76.43,2026-02-19 03:40
bp_won,997416,110824,1.1057,0.4629,76.08,2026-02-19 03:40
total_tiebreaks,997416,110824,0.4314,0.2109,67.66,2026-02-19 03:40
double_faults,997416,110824,1.6118,0.2822,71.03,2026-02-19 03:40
